Stage1_Total_Rain,Stage1_Mean_Temp,Stage1_Mean_Humidity,Stage1_Rain_Weeks,Stage1_Max_Weekly_Rain,Stage1_Heat_Stress_Weeks,Stage1_Rain_x_Temp,Stage1_Heat_x_Hum,Stage2_Total_Rain,Stage2_Mean_Temp,Stage2_Mean_Humidity,Stage2_Rain_Weeks,Stage2_Max_Weekly_Rain,Stage2_Heat_Stress_Weeks,Stage2_Rain_x_Temp,Stage2_Heat_x_Hum,Stage3_Total_Rain,Stage3_Mean_Temp,Stage3_Mean_Humidity,Stage3_Rain_Weeks,Stage3_Max_Weekly_Rain,Stage3_Heat_Stress_Weeks,Stage3_Rain_x_Temp,Stage3_Heat_x_Hum,Stage4_Total_Rain,Stage4_Mean_Temp,Stage4_Mean_Humidity,Stage4_Rain_Weeks,Stage4_Max_Weekly_Rain,Stage4_Heat_Stress_Weeks,Stage4_Rain_x_Temp,Stage4_Heat_x_Hum,Interaction_RipeningRain_VegetativeRain,Yield,Is_Synthetic,District,Year
175.29999999999998,31.139999999999997,67.83142857,3.0,127.6,4.0,5458.841999999999,2112.2706856697996,968.9999999999999,27.604761905,86.63571428666667,6.0,585.3,0.0,26749.014285944995,2391.5582653530405,542.3,27.04761904833333,87.223809525,6.0,183.0,0.0,14667.923809911164,2359.196371976588,210.90000000000003,27.235714285000004,76.33809523833332,5.0,88.8,0.0,5744.012142706501,2079.122550972366,204362.1,1.0,0.0,Narmada,2019.0
182.1,29.762857145999998,75.457142856,4.0,57.5,1.0,5419.816286286599,2245.8201634684424,427.79999999999995,28.22619047666667,85.16666666666667,6.0,231.0,0.0,12075.164285918,2403.9305555961114,653.4999999999999,27.309523808333335,87.62857142666667,6.0,320.0,0.0,17846.77380874583,2393.0945576667914,53.800000000000004,28.142857141666667,69.064285715,4.0,24.3,0.0,1514.0857142216669,1943.6663264684948,23015.64,1.02,0.0,Narmada,2020.0
279.9,29.28,75.737142858,4.0,113.7,1.0,8195.472,2217.58354288224,225.29999999999998,27.988095238333333,82.64523809333333,6.0,80.6,0.0,6305.7178571965,2313.0827947509474,514.0,26.90952381,87.13809523833334,6.0,206.8,0.0,13831.49523834,2344.8446485739782,270.7,26.976190476666662,72.43809523833333,4.0,154.1,0.0,7302.454762033665,1954.1038549162004,60988.70999999999,1.03,0.0,Narmada,2021.0
139.2,30.488571426,63.485714284000004,4.0,93.4,3.0,4244.0091424992,1935.5887344783625,725.4,26.359523809999995,86.88809523833334,6.0,267.0,0.0,19121.198571773995,2290.3288152403948,219.1,26.454761904999998,83.826190475,6.0,86.2,0.0,5796.2383333855,2217.6019104193037,114.9,26.21666666666667,62.72142857000001,3.0,52.1,0.0,3012.2950000000005,1644.3467856768336,83348.46,1.03,0.0,Narmada,2022.0
834.8,28.474285714,83.64,5.0,297.0,1.0,23770.3337140472,2381.58925711896,920.6,26.347619046666665,91.36428571500001,6.0,278.7,0.0,24255.618094361333,2407.231394489629,206.0,26.709523809999997,87.44523809500002,6.0,64.5,0.0,5502.16190486,2335.620668969522,91.30000000000001,26.235714286666667,79.37380952333332,4.0,64.4,0.0,2395.320714372667,2082.4285884984747,84050.78000000001,2.4,0.0,Navsari,2013.0
38.099999999999994,30.862857142000003,69.314285716,3.0,23.4,5.0,1175.8748571101999,2139.2368979526796,408.29999999999995,27.785714283333338,85.614285715,6.0,128.2,0.0,11344.907141885,2378.854081448657,302.69999999999993,26.804761903333333,87.78333333500001,5.0,121.7,0.0,8113.801428138998,2353.0113491256193,34.800000000000004,27.866666666666664,69.423809525,3.0,19.0,0.0,969.76,1934.610158763333,14208.84,2.73,0.0,Navsari,2014.0
11.0,22.992857141666665,49.31666666833333,2.0,6.0,0.0,252.9214285583333,1133.9310714081826,6.1000000000000005,26.43673469428571,49.699999999999996,1.0,3.6,0.0,161.26408163514284,1313.9057143059997,3.9,30.761904763333337,55.104761905000004,1.0,3.4,5.0,119.97142857700001,1695.1274377277691,18.699999999999996,27.83316326571429,54.15255102,3.0,6.3,4.0,520.4801530688571,1507.2367937945828,114.06999999999998,3.17,0.0,Navsari,2014.0
545.6000000000001,29.26,78.47714285800001,4.0,354.1,2.0,15964.256000000005,2296.24120002508,192.8,27.55714285666667,85.435714285,5.0,129.0,0.0,5313.017142765334,2354.3641836131023,516.5,27.254761905,84.24047619,6.0,349.6,0.0,14077.084523932499,2295.9541213222715,19.1,27.988095236666663,69.63095238166666,2.0,11.6,0.0,534.5726190203333,1948.8377266778878,3682.4800000000005,2.43,0.0,Navsari,2015.0
1.1,23.209523809999997,47.561904761666675,0.0,1.1,0.0,25.530476190999998,1103.8891610148548,14.099999999999998,27.251020408571428,46.973469387142856,1.0,9.1,2.0,384.2393877608571,1280.0749729304353,9.6,30.380952381666663,61.17142857333332,1.0,9.1,4.0,291.657142864,1858.4462586049633,14.8,28.17474489714286,52.274489795714295,1.0,14.0,4.0,416.9862244777143,1472.8204146225478,208.67999999999998,3.3,0.0,Navsari,2015.0
167.2,30.442857142,73.08857143,2.0,104.6,3.0,5090.045714142399,2225.0249387563526,713.0,26.864285713333334,89.56190476166665,6.0,194.9,0.0,19154.235713606668,2406.016598547762,490.29999999999995,26.561904761666664,87.38571428666667,5.0,225.8,0.0,13023.301904645165,2321.131020412654,189.29999999999998,25.735714285,76.71666666666668,2.0,181.6,0.0,4871.7707141505,1974.3582142309172,134970.9,2.62,0.0,Navsari,2016.0
0.0,23.664285715000002,41.273809523333334,0.0,0.0,0.0,0.0,976.7152211066481,0.3,27.790476193333333,47.83095238000001,0.0,0.3,1.0,8.337142858,1329.2449434208506,7.4,30.761904761666667,58.24285714166666,1.0,7.4,6.0,227.63809523633336,1791.661224439307,0.0,28.684693877142855,53.97168367428572,0.0,0.0,4.0,0.0,1548.1612242308747,0.0,3.03,0.0,Navsari,2016.0
372.29999999999995,30.345714285999996,79.097142856,5.0,165.7,4.0,11297.709428677797,2400.259297947102,355.7,28.235714285,86.14047619000002,6.0,134.0,0.0,10043.443571174499,2432.237874074686,455.9,28.507142856666665,84.99761905,6.0,219.1,0.0,12996.406428354332,2423.0392687348817,41.699999999999996,29.12142857166667,70.58333333333333,2.0,34.9,1.0,1214.3635714385,2055.487500016806,14832.689999999999,2.47,0.0,Navsari,2017.0
0.0,22.942857145,56.47857142666667,0.0,0.0,0.0,0.0,1295.7797959956922,0.0,28.091836734285714,50.489795918571424,0.0,0.0,1.0,0.0,1418.3511036919137,0.1,30.669047618333327,62.00476190333333,0.0,0.1,4.0,3.066904761833333,1901.62699537675,174.79999999999998,27.858928571428574,68.22551020285714,2.0,165.7,4.0,4869.740714285715,1900.6896154906683,0.0,2.91,0.0,Navsari,2017.0
182.2,30.951428572000005,75.094285714,5.0,103.4,4.0,5639.3502858184,2324.2754204422313,891.3,27.826190476666664,87.07857143000001,6.0,412.4,0.0,24801.483571852998,2423.064915047204,312.1000000000001,27.666666666666668,83.20000000166667,6.0,141.4,0.0,8634.76666666667,2301.8666667127777,1.6,30.035714286666664,61.05000000166667,0.0,1.6,3.0,48.057142858666666,1833.6803572510594,1426.08,2.66,0.0,Navsari,2018.0
0.3,23.780952381666665,57.26428571333333,0.0,0.3,0.0,7.1342857145,1361.7992517189346,0.0,28.604081634285716,48.842857141428574,0.0,0.0,1.0,0.0,1397.105072925178,0.0,30.930952381666668,65.41428571333334,0.0,0.0,5.0,0.0,2023.3261564798518,26.4,27.825510204285713,62.11811224571428,2.0,21.2,4.0,734.5934693931428,1728.468166164088,0.0,2.76,0.0,Navsari,2018.0
353.90000000000003,30.591428569999998,76.46571428600001,3.0,289.6,4.0,10826.306570923,2339.1954366341974,742.9000000000001,28.495238094999994,86.85238095166666,6.0,362.0,0.0,21169.1123807755,2474.879274335384,434.1,28.145238095,86.28809524,6.0,144.0,0.0,12217.8478570395,2428.5989852938364,184.3,28.502380951666666,78.38095238166666,6.0,82.9,0.0,5252.988809392167,2234.043764136708,136916.47000000003,2.66,0.0,Navsari,2019.0
0.0,21.74523809333333,52.24761904666667,0.0,0.0,0.0,0.0,1136.1369159795443,0.0,26.71836734857143,51.993877551428575,0.0,0.0,1.0,0.0,1389.1915202957102,1.0,30.985714283333337,61.240476191666666,0.0,1.0,5.0,30.985714283333337,1897.579897850261,0.0,28.275765305714287,68.1117346942857,0.0,0.0,4.0,0.0,1925.9114247806997,0.0,3.1,0.0,Navsari,2019.0
302.0,30.102857141999998,79.16285714400001,5.0,123.5,3.0,9091.062856884,2383.0281795583865,826.5000000000001,28.878571428333334,86.81190476166667,6.0,241.0,0.0,23868.139285517504,2507.0037924894614,1009.3000000000001,28.235714286666663,88.62619047666665,6.0,321.7,1.0,28498.306429532666,2502.4237926148576,36.3,29.366666666666664,72.57380952333334,2.0,24.4,2.0,1066.0099999999998,2131.250873001889,30001.95,2.72,0.0,Navsari,2020.0
0.1,22.452380951666665,59.916666666666664,0.0,0.1,0.0,2.2452380951666666,1345.2718253540277,6.6000000000000005,27.385714285000002,54.37857142833334,1.0,5.9,0.0,180.74571428100003,1489.1960203628012,0.1,31.878571426666667,62.314285715000004,0.0,0.1,6.0,3.187857142666667,1986.490408067342,173.8,27.71530612285714,70.28061224428572,3.0,123.5,3.0,4816.920204152571,1947.8486828522005,1147.0800000000002,2.31,0.0,Navsari,2020.0
